Key,"English Value","Kurdish Translation (کوردی)"
deposit_view,"view deposit",
Dernièrescinqrecords,"Last five records",
Description,Description,
Description_Placeholder,Description,
Designation,Designation,
Designations,Designations,
DetailQuote,"Detail Quotation",
Details,Details,
developed_by,"Developed by",
Development,Development,
Difference,Difference,
Dimension,Dimension,
Direction,Direction,
Disabled,Disabled,
DisActivateUser,"This User Has been Deactivated",
Disconnect,Disconnect,
Disconnected,Disconnected,
Discount,Discount,
DiscountsOverTime,"Discounts Over Time",
Discount_Method,"Discount Type",
Discount_Summary_Report,"Discount Summary Report",
Display_limit,"Display limit",
Display_not_connecting_A,"Check that the device is on the same network and use the full URL including the token.",
Display_not_connecting_Q,"Display not connecting?",
Display_updates_automatically,"Display updates automatically as items are added",
Display_URL,"Display URL",
Display_URL_Placeholder,"Your display URL will appear here",
Documentation,Doc,
Documents,Documents,
DownloadPdf,"Download Pdf",
Download_exemple,"Download example",
Download_PDF,"Download PDF",
Draft,Draft,
Draft_Created_successfully,"Draft Created successfully",
Draft_Invoices_Report,"Draft Invoices Report",
Draft_Sale_Deleted,"Draft Sale Deleted",
Due,Due,
Dynamic_Appearance,"Dynamic Appearance",
"e.g. 30,60,90","e.g. 30,60,90",
Edit,Edit,
EditAdjustement,"Edit Adjustement",
EditCustomer,"Edit Customer",
EditPayment,"Edit Payment",
EditProduct,"Edit Product",
EditPurchase,"Edit Purchase",
EditPurchaseReturn,"Edit Purchase Return",
EditQuote,"Edit Quotation",
EditReturn,"Edit Return",
EditReturnCustomer,"Edit Return Customer",
EditReturnSupplier,"Edit Return Supplier",
EditSale,"Edit Sale",
EditSaleReturn,"Edit Sale Return",
EditTransfer,"Edit Transfer",
Edit_Account,"Edit Account",
Edit_Asset,"Edit Asset",
Edit_Collection,"Edit Collection",
Edit_Customer,"Edit Customer",
Edit_Damage,"Edit Damage",
edit_employee,"Edit employee",
Edit_Expense,"Edit Expense",
Edit_Online_Store_Account,"Edit Online Store Account",
Edit_Payment,"Edit Payment",
Edit_Permission,"Edit Permission",
Edit_Project,"Edit Project",
Edit_Provider,"Edit Provider",
Edit_Shipping,"Edit Shipping",
Edit_Task,"Edit Task",
edit_tax_and_discount_and_shipping,"edit tax and discount and shipping",
Effective_Rate,"Effective rate",
Email,Email,
EmailCustomer,"Email Customer",
EmailPurchase,"Send Purchase on Email",
EmailReturn,"Send Return on Email",
EmailSale,"Send Sale on Email",
EmailSupplier,"Supplier Email",
Email_Address,"Email Address",
Email_body,"Email body",
email_notification,"Email notification",
Email_Subject,"Email Subject",
email_templates,"Email Templates",
Employee,Employee,
Employees,Employees,
Employee_Details,"Employee Details",
Employment_type,"Employment type",
Enable,Enable,
Enabled,Enabled,
Enable_Auto_Sync,"Enable auto sync",
Enable_Print_Invoice,"Print Invoice automatically",
Enable_ZATCA_QR_on_Sales_Receipts,"Enable ZATCA QR on Sales Receipts",
EnAttendant,Pending,
encryption,MAIL_ENCRYPTION,
Entered_points_exceed_available,"Entered points exceed available",
Enter_account_name,"Enter account name",
Enter_account_num,"Enter account num",
Enter_Address,"Enter Address",
Enter_Annual_Leave,"Enter Annual Leave",
Enter_Attendance_date,"Enter attendance date",
Enter_Bank_Branch,"Enter Bank Branch",
Enter_Bank_Name,"Enter Bank Name",
Enter_Bank_Number,"Enter Bank Number",
Enter_Basic_salary,"Enter Basic salary",
Enter_Birth_date,"Enter birth date",
Enter_City,"Enter City",
Enter_City_Warehouse,"Enter Warehouse City",
Enter_Code_category,"Enter category Code",
Enter_Code_Currency,"Enter Code Currency",
Enter_Company_Country,"Enter company country",
Enter_Company_Name,"Enter company name",
Enter_Company_Phone,"Enter company phone",
Enter_Country,"Enter Country",
Enter_Country_Warehouse,"Enter Warehouse Country",
Enter_Department_Name,"Enter department name",
Enter_Description,"Enter Description",
Enter_Description_Brand,"Enter Description Brand",
Enter_email_address,"Enter email address",
Enter_Email_Warehouse,"Enter Warehouse Email",
Enter_Facebook,"Enter Facebook",
Enter_Finish_date,"Enter finish date",
Enter_FirstName,"Enter First Name",
Enter_Hourly_rate,"Enter Hourly rate",
Enter_initial_balance,"Enter initial balance",
Enter_joining_date,"Enter joining date",
Enter_LastName,"Enter Last Name",
Enter_Leaving_Date,"Enter Leaving Date",
Enter_LinkedIn,"Enter LinkedIn",
Enter_location,"Enter location",
Enter_Minimum_Selling_Price,"Enter Minimum Selling Price",
Enter_Name_Brand,"Enter Name Brand",
Enter_name_category,"Enter category Name",
Enter_name_Currency,"Enter name Currency",
Enter_Name_Product,"Enter Name Product",
Enter_Name_Unit,"Enter Unit Name",
Enter_Name_Warehouse,"Enter Warehouse Name",
Enter_New_Credit_Card,"Enter New Credit Card",
Enter_Operation_Value,"Enter Operation Value",
Enter_Payment_Method,"Enter Payment Method",
Enter_Phone_Number,"Enter Phone Number",
